,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result
269,d,3,g,3,d,7,twelve
270,a,1,d,4,f,6,sixteen
271,c,1,g,5,c,4,fourteen
272,d,1,d,2,h,6,twelve
273,d,3,g,1,g,2,draw
274,d,3,e,4,e,7,ten
275,b,2,f,7,f,2,fourteen
276,c,1,h,6,f,1,ten
277,b,1,h,7,g,2,thirteen
278,d,4,d,6,g,3,eleven
279,d,1,h,7,c,7,fourteen
280,c,3,b,4,b,1,three
281,c,3,h,6,h,2,twelve
282,d,2,c,1,d,8,thirteen
283,c,1,b,7,f,8,ten
284,d,1,a,3,c,6,fourteen
285,d,4,c,8,c,2,eight
286,d,3,h,5,c,7,eleven
287,b,2,e,2,h,6,thirteen
288,d,2,f,6,b,3,thirteen
289,b,1,a,6,e,3,fifteen
290,d,4,c,6,h,4,nine
291,a,1,c,5,e,1,fourteen
292,c,3,h,6,g,2,twelve
293,d,3,c,6,b,8,eight
294,c,1,e,1,h,2,eleven
295,c,2,b,6,g,7,eleven
296,d,3,e,2,a,2,six
297,b,1,a,4,f,3,ten
298,c,2,e,4,g,6,eleven
299,d,3,g,5,c,8,eleven
300,c,1,g,7,e,4,fifteen
301,a,1,e,4,g,5,fifteen
302,c,3,f,3,h,4,eleven
303,d,1,c,7,a,8,ten
304,b,1,f,5,g,2,twelve
305,d,1,c,7,c,5,fifteen
306,d,2,h,1,c,8,twelve
307,d,1,d,6,h,1,six
308,b,1,f,4,b,4,fourteen
309,d,1,d,2,e,4,fourteen
310,a,1,c,7,f,1,eleven
311,d,2,g,2,h,3,draw
312,c,2,b,5,d,8,twelve
313,c,3,c,7,h,3,eleven
314,c,2,a,3,e,8,twelve
315,d,3,f,5,h,8,eight
316,c,2,g,7,f,7,draw
317,c,3,g,7,h,4,nine
318,d,3,g,7,d,5,thirteen
319,d,3,g,3,c,8,eleven
320,a,1,c,2,f,6,sixteen
321,c,2,g,6,f,3,fourteen
322,d,2,c,8,f,6,fourteen
323,d,1,d,6,e,3,fifteen
324,b,1,g,3,g,1,nine
325,c,2,a,7,a,5,twelve
326,a,1,h,2,f,5,sixteen
327,d,1,a,5,d,4,thirteen
328,d,2,h,2,a,2,five
329,a,1,a,2,g,3,fifteen
330,b,1,f,8,a,7,thirteen
331,d,2,h,8,c,4,thirteen
332,c,3,a,2,g,3,twelve
333,a,1,b,5,d,2,fifteen
334,c,1,f,8,c,4,fifteen
335,d,1,b,2,e,7,fourteen
336,d,2,a,3,b,5,twelve
337,d,1,c,7,a,1,nine
338,c,1,b,3,c,5,fifteen
339,a,1,e,4,h,8,thirteen
340,d,1,h,3,a,7,eleven
341,d,4,f,2,h,2,ten
342,d,1,a,7,d,3,fourteen
343,d,2,e,1,c,4,thirteen
344,c,2,e,1,g,8,twelve
345,b,1,g,5,f,7,fourteen
346,d,1,g,5,b,6,thirteen
347,c,1,h,2,e,5,fourteen
348,a,1,b,7,c,2,fifteen
349,d,2,g,7,f,4,fourteen
350,c,3,e,4,e,5,draw
351,d,3,a,2,a,4,ten
352,c,2,c,6,a,5,ten
353,b,1,c,6,h,2,eleven
354,d,1,a,8,d,7,fourteen
355,d,3,g,8,b,7,eleven
356,c,1,e,1,f,6,thirteen
357,a,1,b,4,c,1,thirteen
358,a,1,c,1,h,4,fourteen
359,d,2,g,6,e,8,twelve
360,c,1,b,7,b,3,thirteen
361,c,2,b,6,c,6,draw
362,d,1,h,4,h,8,ten
363,d,3,h,6,a,5,eight
364,b,1,b,3,f,1,eight
365,d,2,d,5,d,7,thirteen
366,c,1,g,5,d,4,thirteen
367,d,3,g,1,e,5,twelve
368,d,2,f,7,f,4,fourteen
369,d,1,b,5,h,7,thirteen
370,c,3,h,8,h,6,thirteen
371,d,2,e,3,c,7,twelve
372,d,3,c,3,b,7,nine
373,a,1,e,8,f,5,fourteen
374,c,2,g,4,b,5,thirteen
375,c,1,c,5,d,5,draw
376,d,1,b,8,c,7,draw
377,b,1,b,6,h,7,twelve
378,c,1,g,6,e,2,fifteen
379,d,1,d,8,b,2,thirteen
380,d,4,h,2,h,3,draw
381,c,1,g,4,a,6,thirteen
382,c,1,g,4,b,3,eleven
383,b,2,g,8,e,4,fifteen
384,d,2,f,7,g,1,seven
385,b,1,h,2,g,6,fourteen
386,a,1,c,8,h,4,fourteen
387,d,4,e,4,b,2,eight
388,d,3,a,6,e,5,twelve
389,b,1,d,8,b,3,thirteen
390,d,2,g,4,f,1,seven
391,d,1,g,4,f,2,eleven
392,d,1,c,4,h,4,fourteen
393,d,4,e,8,f,3,ten
394,b,1,e,1,e,7,thirteen
395,b,2,a,1,f,2,twelve
396,a,1,d,2,e,2,draw
397,b,1,c,3,b,5,ten
398,b,1,g,7,a,4,twelve
399,a,1,a,5,g,5,fourteen
400,c,1,g,1,c,4,fifteen
401,c,2,f,5,a,6,twelve
402,d,1,d,4,h,5,thirteen
403,b,1,f,7,e,1,thirteen
404,d,3,d,4,f,4,eleven
405,d,3,d,7,h,4,eleven
406,d,1,f,7,f,5,fifteen
407,b,1,g,6,f,6,draw
408,d,2,g,1,f,1,draw
409,c,1,a,4,h,6,fourteen
410,c,3,e,3,h,1,seven
411,d,1,c,5,f,8,fourteen
412,b,1,f,4,c,4,fifteen
413,c,2,d,4,g,6,twelve
414,d,3,b,8,f,6,twelve
415,b,1,a,1,a,3,fourteen
416,d,1,g,2,c,8,fourteen
417,c,3,f,5,d,1,eight
418,c,1,g,5,f,6,draw
419,a,1,h,3,c,3,sixteen
420,d,4,d,6,g,1,nine
421,c,1,d,8,c,6,twelve
422,d,2,h,3,b,7,eleven
423,c,3,h,8,g,6,thirteen
424,d,3,d,1,b,6,ten
425,d,3,g,2,b,2,six
426,d,1,f,3,g,5,eleven
427,c,3,e,5,e,3,ten
428,c,2,h,5,c,4,thirteen
429,a,1,g,3,g,6,sixteen
430,d,1,a,8,e,3,fourteen
431,d,2,g,8,f,8,draw
432,c,2,c,1,c,5,thirteen
433,c,1,f,4,f,2,eleven
434,c,2,h,4,c,6,thirteen
435,c,1,f,8,a,3,twelve
436,a,1,h,7,h,5,sixteen
437,d,1,f,5,d,5,fourteen
438,b,2,c,5,h,3,eleven
439,b,1,h,7,b,4,fourteen
440,b,1,c,6,d,4,sixteen
441,c,2,g,2,e,3,fourteen
442,d,1,g,4,c,4,fourteen
443,d,1,d,4,b,8,eleven
444,c,1,c,2,e,3,fifteen
445,d,1,f,4,b,3,seven
446,d,4,c,1,e,2,ten
447,d,1,h,2,c,6,fourteen
448,b,1,c,6,a,6,eleven
449,b,2,b,7,f,3,fourteen
450,d,2,g,2,b,6,thirteen
451,d,2,d,6,e,5,draw
452,c,2,e,5,h,2,nine
453,c,3,b,5,g,4,ten
454,d,1,b,6,f,6,fifteen
455,d,1,e,4,h,1,six
456,d,2,a,6,c,7,twelve
457,c,2,c,6,c,7,draw
458,d,3,a,7,d,5,twelve
459,a,1,e,4,h,1,twelve
460,d,3,a,7,h,7,eleven
461,c,1,a,3,e,5,fourteen
462,d,2,e,2,e,6,twelve
463,d,4,f,6,g,1,seven
464,d,3,d,5,f,3,nine
465,b,1,h,6,d,7,thirteen
466,c,1,e,4,d,4,draw
467,a,1,g,7,c,1,eleven
468,c,2,g,3,b,6,twelve
469,c,1,g,8,g,2,fourteen
470,b,1,d,3,h,3,fourteen
471,c,1,f,1,h,6,eleven
472,a,1,e,1,e,2,draw
473,c,1,g,4,f,6,fifteen
474,d,2,f,4,g,4,draw
475,d,2,g,5,b,6,twelve
476,d,3,e,2,d,7,ten
477,b,1,d,1,f,3,fifteen
478,c,1,f,6,b,8,thirteen
479,c,3,e,2,h,8,eleven
480,c,3,h,8,g,5,twelve
481,b,1,e,3,g,1,nine
482,d,1,c,3,g,8,twelve
483,d,3,e,7,d,8,draw
484,b,2,f,2,h,1,seven
485,d,2,a,7,e,5,fourteen
486,d,1,h,7,b,7,fourteen
487,b,1,d,6,c,7,draw
488,b,1,f,4,f,7,fifteen
489,d,2,c,2,a,7,nine
490,c,2,d,3,d,8,thirteen
491,c,2,b,7,g,7,thirteen
492,c,3,e,7,g,3,twelve
493,c,1,c,2,e,8,fourteen
494,b,2,h,2,e,4,fifteen
495,d,2,g,4,c,7,thirteen
496,d,2,d,5,a,6,nine
497,d,2,b,4,a,1,three
498,c,2,g,2,c,5,thirteen
499,c,2,e,6,f,7,draw
500,b,1,d,1,b,5,twelve
501,c,3,b,1,h,6,eleven
502,d,1,g,7,e,5,fifteen
503,d,3,h,8,h,4,eleven
504,b,1,a,6,d,4,fifteen
505,c,1,g,6,d,7,thirteen
506,d,3,a,3,f,3,nine
507,c,3,a,1,c,1,zero
508,c,1,h,7,f,7,fifteen
509,c,3,f,3,d,1,eight
510,c,2,e,1,c,8,eleven
511,c,1,a,3,h,4,thirteen
512,c,1,h,2,g,5,fourteen
513,b,2,h,3,f,2,nine
514,a,1,e,7,f,4,fifteen
515,d,1,a,8,h,5,twelve
516,d,1,a,1,h,3,thirteen
517,c,2,c,6,g,6,fourteen
518,b,2,b,7,g,5,fourteen
519,a,1,e,3,e,2,draw
520,b,1,a,1,e,7,fourteen
521,b,2,e,2,d,3,draw
522,d,1,f,3,c,7,fourteen
523,d,3,d,7,h,7,eleven
524,c,3,g,4,c,1,two
525,a,1,b,5,f,4,fourteen
526,d,1,b,7,e,7,fifteen
527,b,1,d,3,e,4,draw
528,b,1,g,2,b,3,thirteen
529,d,1,b,7,e,6,fifteen
530,c,3,f,1,g,5,ten
531,b,1,f,5,e,8,fourteen
532,b,1,c,5,d,3,fifteen
533,d,3,e,4,h,2,six
534,c,1,b,2,g,8,fourteen
535,d,1,b,8,f,1,six
536,c,2,g,4,f,2,ten
537,d,2,a,2,h,1,six
538,c,1,b,3,g,4,fourteen
539,b,2,g,8,h,4,nine
540,d,3,g,5,b,3,seven
541,d,1,c,6,h,3,thirteen
542,d,3,b,7,c,5,thirteen
543,a,1,a,8,e,1,twelve
544,d,1,b,8,e,4,fourteen
545,c,2,h,7,f,8,nine
546,c,2,g,3,e,4,fourteen
547,c,3,c,2,h,8,eleven
548,d,3,a,6,f,4,twelve
549,d,4,d,3,h,8,nine
550,d,1,d,2,h,3,twelve
551,c,1,c,6,a,7,ten
552,b,1,g,8,h,8,draw
553,c,1,g,6,h,7,draw
554,b,1,a,2,h,6,thirteen
555,c,2,a,3,g,6,thirteen
556,c,3,h,4,f,3,nine
557,b,2,d,3,f,4,fourteen
558,c,3,h,8,g,7,draw
559,c,2,a,5,f,2,ten
560,d,2,e,4,f,1,six
561,d,3,a,7,d,7,twelve
562,a,1,h,1,e,4,fifteen
563,d,3,g,8,c,1,five
564,d,1,e,1,f,4,thirteen
565,b,1,a,3,b,4,draw
566,b,1,c,8,h,1,nine
567,d,3,c,8,d,7,draw
568,c,1,g,4,d,3,eleven
569,c,1,g,3,g,4,draw
570,d,2,d,1,f,8,eleven
571,d,1,a,6,f,5,fourteen
572,d,1,h,1,a,1,five
573,d,4,c,1,f,6,eleven
574,d,4,h,5,h,8,nine
575,c,1,c,4,e,8,fourteen
576,c,1,f,5,b,7,fourteen
577,b,1,e,2,d,1,draw
578,b,2,h,4,e,3,eleven
579,b,1,h,1,c,3,fifteen
580,b,2,g,2,e,4,fifteen
581,a,1,d,6,h,3,fourteen
582,b,2,h,5,h,6,draw
583,c,3,d,3,h,3,eleven
584,b,1,d,3,e,2,draw
585,d,3,h,7,h,5,twelve
586,c,1,c,6,g,8,thirteen
587,d,3,h,5,f,8,eleven
588,c,2,d,1,c,7,ten
589,c,1,d,8,h,2,nine
590,a,1,a,5,e,1,twelve
591,c,1,h,5,d,8,thirteen
592,c,2,e,4,b,6,twelve
593,b,1,a,5,d,8,thirteen
594,c,1,h,5,e,6,thirteen
595,b,2,b,8,e,2,twelve
596,c,1,h,2,f,3,fourteen
597,a,1,h,7,h,4,fourteen
598,c,3,b,6,f,5,thirteen
599,d,4,a,6,h,1,seven
600,d,1,e,7,g,1,eleven
601,c,1,f,5,f,3,fourteen
602,c,2,a,3,e,3,fourteen
603,d,2,f,7,f,6,draw
604,d,2,d,6,h,1,six
605,d,2,g,7,f,7,draw
606,d,4,a,4,d,2,nine
607,d,4,e,8,g,1,eight
608,c,2,e,7,a,3,ten
609,b,1,d,5,a,8,twelve
610,d,3,h,1,a,7,nine
611,c,1,c,6,f,2,thirteen
612,b,2,h,2,h,7,thirteen
613,d,3,b,6,b,5,draw
614,d,2,f,3,a,5,eleven
615,d,1,d,4,g,5,thirteen
616,d,2,e,2,c,5,thirteen
617,c,2,h,8,e,7,thirteen
618,b,2,e,3,f,6,thirteen
619,c,2,c,3,g,8,thirteen
620,c,1,b,2,f,4,fifteen
621,d,1,f,7,h,8,ten
622,c,1,e,1,a,4,thirteen
623,b,2,h,5,d,3,fourteen
624,d,2,b,6,h,2,eight
625,c,2,g,3,g,6,thirteen
626,c,1,c,2,c,7,fourteen
627,d,1,h,7,g,5,fourteen
628,d,3,a,8,b,5,eleven
629,d,2,g,2,g,1,draw
630,c,2,a,5,a,1,zero
631,a,1,e,8,h,1,twelve
632,d,3,a,3,e,7,twelve
633,b,1,g,4,f,1,eleven
634,d,4,g,3,g,6,twelve
635,d,2,h,4,h,7,ten
636,b,1,e,4,d,6,fourteen
637,d,1,a,5,h,3,ten
638,d,1,e,1,b,2,eleven
639,c,2,c,6,d,5,draw
640,d,2,b,7,e,5,fourteen
641,d,4,e,3,f,2,seven
642,d,1,d,3,g,3,fourteen
643,b,1,f,4,d,6,fifteen
644,d,3,e,3,a,5,eleven
645,b,2,c,7,h,5,fourteen
646,d,3,h,5,g,7,eleven
647,d,2,d,6,b,6,twelve
648,c,3,a,8,g,4,twelve
649,b,1,a,5,h,3,eleven
650,a,1,h,6,d,3,sixteen
651,b,1,d,6,e,4,sixteen
652,d,3,d,2,b,6,ten
653,a,1,e,7,h,5,fifteen
654,d,1,a,2,f,1,four
655,b,1,b,4,e,4,fourteen
656,c,2,a,8,g,4,thirteen
657,c,3,b,7,g,6,twelve
658,a,1,g,6,d,2,fourteen
659,d,1,f,7,g,7,draw
660,d,3,b,8,g,2,eight
661,d,2,b,2,a,2,draw
662,b,1,a,4,h,6,fourteen
663,d,1,h,4,g,6,fourteen
664,b,2,g,5,g,4,draw
665,a,1,g,8,f,4,sixteen
666,d,2,e,6,b,2,five
667,b,2,e,4,h,6,twelve
668,d,3,f,2,a,7,nine
669,c,1,d,3,h,3,fourteen
670,d,1,b,5,h,8,twelve
671,d,2,e,5,g,6,eleven
672,c,1,c,8,e,4,fifteen
673,c,2,f,4,h,8,ten
674,d,1,e,6,c,5,fifteen
675,d,1,a,1,b,2,draw
676,b,1,e,8,b,6,fourteen
677,d,1,c,8,d,7,draw
678,c,2,f,2,f,4,fifteen
679,c,1,a,7,a,1,zero
680,c,1,h,5,b,5,thirteen
681,d,2,e,8,e,6,thirteen
682,b,1,f,5,e,3,fifteen
683,c,2,b,4,c,6,thirteen
684,d,4,f,2,f,6,twelve
685,b,2,c,5,f,3,twelve
686,c,2,c,5,e,2,ten
687,b,1,c,5,f,5,fifteen
688,b,2,b,5,g,5,thirteen
689,d,1,a,2,e,5,fourteen
690,d,4,d,8,b,1,six
691,b,1,g,3,f,1,nine
692,d,1,a,3,c,4,fourteen
693,d,4,e,1,h,2,nine
694,b,2,h,1,d,2,twelve
695,d,2,b,4,c,7,thirteen
696,c,1,a,6,d,5,fourteen
697,c,3,e,1,f,1,draw
698,c,3,d,4,e,5,twelve
699,d,1,d,7,h,8,eleven
700,d,2,c,1,a,1,five
701,c,3,d,5,h,5,eleven
702,c,2,d,2,d,6,thirteen
703,b,1,e,8,e,7,draw
704,a,1,d,7,h,4,fourteen
705,d,1,g,5,g,3,fourteen
706,d,1,a,8,d,8,fourteen
707,b,1,a,4,d,8,fourteen
708,d,4,d,6,f,4,eleven
709,c,2,d,2,f,8,thirteen
710,d,2,e,4,b,6,twelve
711,c,1,a,8,h,3,twelve
712,b,1,h,7,e,4,fifteen
713,d,2,d,5,f,1,six
714,d,2,h,1,c,7,thirteen
715,b,1,d,2,h,7,thirteen
716,c,3,d,2,h,4,twelve
717,c,2,a,1,g,5,thirteen
718,b,1,f,5,e,1,thirteen
719,d,4,b,8,h,4,nine
720,d,4,f,5,b,1,eight
721,b,1,b,4,d,8,fourteen
722,c,1,e,2,c,8,thirteen
723,c,2,h,3,f,4,fourteen
724,b,1,e,5,e,3,fifteen
725,d,3,f,5,h,5,nine
726,c,3,h,3,g,1,eight
727,a,1,a,4,h,5,fifteen
728,c,1,h,4,g,6,fourteen
729,c,1,e,3,d,3,draw
730,c,1,e,3,g,6,thirteen
731,c,1,a,8,h,2,nine
732,d,1,f,1,g,1,draw
733,c,3,f,6,h,6,eleven
734,c,2,b,4,d,7,thirteen
735,d,3,d,7,b,5,ten
736,b,1,e,7,f,2,thirteen
737,c,1,e,4,e,8,thirteen
738,b,1,h,7,h,3,fourteen
739,c,1,a,3,h,2,seven
740,c,1,g,4,h,6,nine
741,d,2,b,4,a,6,seven
742,c,1,h,3,e,4,fourteen
743,b,1,e,5,h,2,twelve
744,c,3,e,8,c,1,two
745,d,3,e,2,c,8,ten
746,c,3,d,8,d,1,eight
747,d,1,h,4,f,8,fourteen
748,d,1,h,4,c,7,fourteen
749,d,2,c,5,a,5,ten
750,a,1,a,5,g,6,fourteen
751,c,1,e,8,b,3,thirteen
752,c,1,d,6,e,7,draw
753,c,2,e,6,d,4,fourteen
754,d,2,d,5,h,6,eleven
755,a,1,g,7,f,1,fourteen
756,b,1,f,6,d,8,thirteen
757,d,1,d,5,b,8,twelve
758,c,2,d,6,f,2,fourteen
759,c,1,a,7,a,6,draw
760,d,2,d,8,h,2,eight
761,d,1,b,7,c,4,fifteen
762,b,2,e,1,g,4,thirteen
763,b,1,g,8,g,2,fourteen
764,d,2,b,6,b,2,six
765,c,2,e,4,e,5,draw
766,d,2,c,8,e,4,thirteen
767,d,3,c,8,a,7,eight
768,c,1,c,8,g,5,fourteen
769,d,2,f,5,f,4,draw
