,white_king_edge_dist,white_rook_edge_dist,black_king_edge_dist,white_king_in_corner,white_rook_in_corner,black_king_in_corner,wking_wrook_dist_x,wking_wrook_dist_y,wking_bking_dist_x,wking_bking_dist_y,wrook_bking_dist_x,wrook_bking_dist_y,result
202,2,2,2,0,0,0,3,5,5,0,2,5,13
203,3,2,1,0,0,1,0,1,4,5,4,6,11
204,1,2,4,0,0,0,2,4,1,4,3,0,14
205,1,3,2,1,0,0,2,3,3,1,1,2,13
206,1,3,1,1,0,0,2,3,7,5,5,2,15
207,2,2,3,0,0,0,2,1,2,2,4,1,13
208,2,1,1,0,0,0,1,1,3,6,4,7,13
209,2,1,2,0,0,0,6,0,5,2,1,2,14
210,2,3,2,0,0,0,1,4,4,3,3,1,13
211,1,3,2,0,0,0,1,2,3,2,4,0,14
212,2,3,2,0,0,0,1,4,3,0,2,4,15
213,3,1,3,0,1,0,2,5,2,0,4,5,12
214,1,2,3,0,0,0,1,6,1,4,0,2,16
215,2,2,1,0,0,0,5,5,4,1,1,6,12
216,1,2,2,0,0,0,2,2,2,4,0,2,15
217,1,3,1,0,0,1,2,2,5,7,3,5,12
218,1,1,1,0,1,0,5,7,3,0,2,7,10
219,2,1,1,0,0,0,1,1,2,1,3,2,9
220,1,1,1,0,0,0,4,4,4,3,0,1,-1
221,2,2,1,0,0,0,3,3,3,6,0,3,12
222,1,3,2,1,0,0,3,2,6,2,3,0,15
223,1,3,2,0,0,0,4,4,5,4,1,0,-1
224,2,1,3,0,0,0,5,1,3,4,2,3,13
225,3,1,1,0,0,0,0,5,2,2,2,7,10
226,3,1,2,0,0,0,3,1,3,1,6,0,11
227,2,1,1,0,0,0,3,1,0,6,3,7,13
228,3,2,1,0,0,1,2,0,3,2,1,2,2
229,2,1,1,0,0,0,0,6,3,6,3,0,13
230,2,2,2,0,0,0,3,0,3,3,0,3,13
231,2,1,2,0,0,0,4,4,2,2,6,2,13
232,2,1,1,0,0,0,3,6,6,4,3,2,13
233,3,3,1,0,0,0,1,1,1,2,0,3,5
234,2,1,1,0,0,0,0,6,3,1,3,5,11
235,1,2,1,0,0,0,0,6,5,5,5,1,15
236,3,4,1,0,0,0,2,2,1,2,3,4,2
237,1,1,2,0,0,0,2,0,4,2,2,2,13
238,1,2,2,1,0,0,6,5,2,1,4,4,14
239,1,1,1,0,1,0,6,0,1,6,7,6,11
240,1,4,2,0,0,0,1,4,3,5,2,1,13
241,2,1,1,0,1,1,3,6,4,1,7,7,6
242,4,2,1,0,0,0,2,3,4,0,6,3,9
243,2,1,3,0,0,0,1,6,1,4,2,2,14
244,1,1,2,1,0,0,4,0,6,1,2,1,14
245,1,1,1,0,0,0,4,7,0,7,4,0,14
246,3,3,1,0,0,1,3,0,5,2,2,2,8
247,1,1,2,0,0,0,6,6,4,1,2,5,13
248,1,2,3,0,0,0,3,1,1,4,2,3,14
249,1,3,4,0,0,0,2,3,0,3,2,0,15
250,2,3,1,0,0,0,2,2,4,0,2,2,6
251,1,2,1,0,0,0,1,2,2,0,3,2,8
252,2,3,1,0,0,0,2,3,3,1,1,4,7
253,2,3,2,0,0,0,0,1,1,3,1,2,9
254,1,2,2,1,0,0,3,6,4,1,1,5,15
255,1,2,2,0,0,0,2,2,3,4,5,2,14
256,2,1,3,0,0,0,3,1,0,4,3,5,13
257,3,1,1,0,1,0,3,5,3,2,0,3,10
258,4,2,2,0,0,0,0,2,3,2,3,0,11
259,2,1,2,0,0,0,6,4,5,1,1,3,14
260,2,3,1,0,0,0,1,4,3,0,4,4,5
261,1,3,2,0,0,0,4,2,0,2,4,0,15
262,3,1,2,0,1,0,3,2,3,0,6,2,9
263,2,1,1,0,1,0,6,6,4,1,2,7,12
264,1,3,3,0,0,0,3,3,3,2,0,1,-1
265,1,1,3,0,1,0,3,7,1,5,2,2,14
266,1,3,2,0,0,0,0,4,1,6,1,2,11
267,3,2,1,0,0,0,2,1,4,3,6,2,11
268,3,1,4,0,1,0,4,5,1,2,3,3,12
269,3,2,2,0,0,0,3,0,0,4,3,4,12
270,1,4,3,1,0,0,3,3,5,5,2,2,16
271,1,2,3,0,0,0,4,4,0,3,4,1,14
272,1,2,1,0,0,0,0,1,4,5,4,4,12
273,3,1,2,0,0,0,3,2,3,1,0,1,-1
274,3,4,2,0,0,0,1,1,1,4,0,3,10
275,2,2,2,0,0,0,4,5,4,0,0,5,14
276,1,1,1,0,0,0,5,5,3,0,2,5,10
277,1,1,2,0,0,0,6,6,5,1,1,5,13
278,4,3,2,0,0,0,0,2,3,1,3,3,11
279,1,1,2,0,0,0,4,6,1,6,5,0,14
280,3,2,1,0,0,0,1,1,1,2,0,3,3
281,3,1,1,0,0,0,5,3,5,1,0,4,12
282,2,1,1,0,0,0,1,1,0,6,1,7,13
283,1,2,1,0,0,0,1,6,3,7,4,1,10
284,1,1,3,0,0,0,3,2,1,5,2,3,14
285,4,1,2,0,0,0,1,4,1,2,0,6,8
286,3,1,2,0,0,0,4,2,1,4,5,2,11
287,2,2,1,0,0,0,3,0,6,4,3,4,13
288,2,3,2,0,0,0,2,4,2,1,4,3,13
289,1,1,3,0,0,0,1,5,3,2,4,3,15
290,4,3,1,0,0,0,1,2,4,0,5,2,9
291,1,3,1,1,0,0,2,4,4,0,2,4,14
292,3,1,2,0,0,0,5,3,4,1,1,4,12
293,3,3,1,0,0,0,1,3,2,5,1,2,8
294,1,1,1,0,0,0,2,0,5,1,3,1,11
295,2,2,2,0,0,0,1,4,4,5,5,1,11
296,3,2,1,0,0,0,1,1,3,1,4,0,6
297,1,1,3,0,0,0,1,3,4,2,5,1,10
298,2,4,2,0,0,0,2,2,4,4,2,2,11
299,3,2,1,0,0,0,3,2,1,5,4,3,11
300,1,2,4,0,0,0,4,6,2,3,2,3,15
301,1,4,2,1,0,0,4,3,6,4,2,1,15
302,3,3,1,0,0,0,3,0,5,1,2,1,11
303,1,2,1,0,0,1,1,6,3,7,2,1,10
304,1,3,2,0,0,0,4,4,5,1,1,3,12
305,1,2,3,0,0,0,1,6,1,4,0,2,15
306,2,1,1,0,1,0,4,1,1,6,5,7,12
307,1,3,1,0,0,1,0,5,4,0,4,5,6
308,1,3,2,0,0,0,4,3,0,3,4,0,14
309,1,2,4,0,0,0,0,1,1,3,1,2,14
310,1,2,1,1,0,0,2,6,5,0,3,6,11
311,2,2,1,0,0,0,3,0,4,1,1,1,-1
312,2,2,1,0,0,0,1,3,1,6,2,3,12
313,3,2,1,0,0,0,0,4,5,0,5,4,11
314,2,1,1,0,0,0,2,1,2,6,4,5,12
315,3,3,1,0,0,1,2,2,4,5,2,3,8
316,2,2,2,0,0,0,4,5,3,5,1,0,-1
317,3,2,1,0,0,0,4,4,5,1,1,3,9
318,3,2,4,0,0,0,3,4,0,2,3,2,13
319,3,2,1,0,0,0,3,0,1,5,4,5,11
320,1,2,3,1,0,0,2,1,5,5,3,4,16
321,2,2,3,0,0,0,4,4,3,1,1,3,14
322,2,1,3,0,0,0,1,6,2,4,3,2,14
323,1,3,3,0,0,0,0,5,1,2,1,3,15
324,1,2,1,0,0,0,5,2,5,0,0,2,9
325,2,1,1,0,0,0,2,5,2,3,0,2,12
326,1,1,3,1,0,0,7,1,5,4,2,3,16
327,1,1,4,0,0,0,3,4,0,3,3,1,13
328,2,1,1,0,0,0,4,0,3,0,7,0,5
329,1,1,2,1,0,0,0,1,6,2,6,1,15
330,1,1,1,0,0,0,4,7,1,6,5,1,13
331,2,1,3,0,1,0,4,6,1,2,5,4,13
332,3,1,2,0,0,0,2,1,4,0,6,1,12
333,1,2,2,1,0,0,1,4,3,1,2,3,15
334,1,1,3,0,0,0,3,7,0,3,3,4,15
335,1,2,2,0,0,0,2,1,1,6,3,5,14
336,2,1,2,0,0,0,3,1,2,3,1,2,12
337,1,2,1,0,0,1,1,6,3,0,2,6,9
338,1,2,3,0,0,0,1,2,0,4,1,2,15
339,1,4,1,1,0,1,4,3,7,7,3,4,13
340,1,1,1,0,0,0,4,2,3,6,7,4,11
341,4,2,1,0,0,0,2,2,4,2,2,0,10
342,1,1,3,0,0,0,3,6,0,2,3,4,14
343,2,1,3,0,0,0,1,1,1,2,2,3,13
344,2,1,1,0,0,0,2,1,4,6,2,7,12
345,1,2,2,0,0,0,5,4,4,6,1,2,14
346,1,2,2,0,0,0,3,4,2,5,5,1,13
347,1,1,4,0,0,0,5,1,2,4,3,3,14
348,1,2,2,1,0,0,1,6,2,1,1,5,15
349,2,2,3,0,0,0,3,5,2,2,1,3,14
350,3,4,4,0,0,0,2,1,2,2,0,1,-1
351,3,1,1,0,0,0,3,1,3,1,0,2,10
352,2,3,1,0,0,0,0,4,2,3,2,1,10
353,1,3,1,0,0,0,1,5,6,1,5,4,11
354,1,1,2,0,1,0,3,7,0,6,3,1,14
355,3,1,2,0,0,0,3,5,2,4,5,1,11
356,1,1,3,0,0,0,2,0,3,5,1,5,13
357,1,2,1,1,0,0,1,3,2,0,1,3,13
358,1,1,1,1,0,0,2,0,7,3,5,3,14
359,2,2,1,0,0,0,3,4,1,6,2,2,12
360,1,2,2,0,0,0,1,6,1,2,0,4,13
361,2,2,3,0,0,0,1,4,0,4,1,0,-1
362,1,1,1,0,0,1,4,3,4,7,0,4,10
363,3,1,1,0,0,0,4,3,3,2,7,1,8
364,1,2,1,0,0,0,0,2,4,0,4,2,8
365,2,4,2,0,0,0,0,3,0,5,0,2,13
366,1,2,4,0,0,0,4,4,1,3,3,1,13
367,3,1,4,0,0,0,3,2,1,2,2,4,12
368,2,2,3,0,0,0,2,5,2,2,0,3,14
369,1,2,1,0,0,0,2,4,4,6,6,2,13
370,3,1,1,0,1,0,5,5,5,3,0,2,13
371,2,3,2,0,0,0,1,1,1,5,2,4,12
372,3,3,2,0,0,0,1,0,2,4,1,4,9
373,1,1,3,1,0,0,4,7,5,4,1,3,14
374,2,2,2,0,0,0,4,2,1,3,5,1,13
375,1,3,4,0,0,0,0,4,1,4,1,0,-1
376,1,1,2,0,0,0,2,7,1,6,1,1,-1
377,1,2,1,0,0,0,0,5,6,6,6,1,12
378,1,2,2,0,0,0,4,5,2,1,2,4,15
379,1,1,2,0,0,0,0,7,2,1,2,6,13
380,4,1,1,0,0,0,4,2,4,1,0,1,-1
381,1,2,1,0,0,0,4,3,2,5,6,2,13
382,1,2,2,0,0,0,4,3,1,2,5,1,11
383,2,1,4,0,0,0,5,6,3,2,2,4,15
384,2,2,1,0,0,0,2,5,3,1,1,6,7
385,1,1,2,0,0,0,6,1,5,5,1,4,14
386,1,1,1,1,0,0,2,7,7,3,5,4,14
387,4,4,2,0,0,0,1,0,2,2,3,2,8
388,3,1,4,0,0,0,3,3,1,2,4,1,12
389,1,1,2,0,0,0,2,7,0,2,2,5,13
390,2,2,1,0,0,0,3,2,2,1,1,3,7
391,1,2,2,0,0,0,3,3,2,1,1,2,11
392,1,3,1,0,0,0,1,3,4,3,5,0,14
393,4,1,3,0,0,0,1,4,2,1,1,5,10
394,1,1,2,0,0,0,3,0,3,6,0,6,13
395,2,1,2,0,1,0,1,1,4,0,5,1,12
396,1,2,2,1,0,0,3,1,4,1,1,0,-1
397,1,3,2,0,0,0,1,2,0,4,1,2,10
398,1,2,1,0,0,0,5,6,1,3,6,3,12
399,1,1,2,1,0,0,0,4,6,4,6,0,14
400,1,1,3,0,0,0,4,0,0,3,4,3,15
401,2,3,1,0,0,0,3,3,2,4,5,1,12
402,1,4,1,0,0,0,0,3,4,4,4,1,13
403,1,2,1,0,0,0,4,6,3,0,1,6,13
404,3,4,3,0,0,0,0,1,2,1,2,0,11
405,3,2,1,0,0,0,0,4,4,1,4,3,11
406,1,2,3,0,0,0,2,6,2,4,0,2,15
407,1,2,3,0,0,0,5,5,4,5,1,0,-1
408,2,1,1,0,0,0,3,1,2,1,1,0,-1
409,1,1,1,0,0,0,2,3,5,5,7,2,14
410,3,3,1,0,0,1,2,0,5,2,3,2,7
411,1,3,1,0,0,0,1,4,2,7,3,3,14
412,1,3,3,0,0,0,4,3,1,3,3,0,15
413,2,4,2,0,0,0,1,2,4,4,3,2,12
414,3,1,3,0,0,0,2,5,2,3,4,2,12
415,1,1,1,0,1,0,1,0,1,2,0,2,14
416,1,2,1,0,0,0,3,1,1,7,4,6,14
417,3,3,1,0,0,0,3,2,1,2,2,4,8
418,1,2,3,0,0,0,4,4,3,5,1,1,-1
419,1,1,3,1,0,0,7,2,2,2,5,0,16
420,4,3,1,0,0,0,0,2,3,3,3,5,9
421,1,1,3,0,0,0,1,7,0,5,1,2,12
422,2,1,2,0,0,0,4,1,2,5,6,4,11
423,3,1,2,0,1,0,5,5,4,3,1,2,13
424,3,1,2,0,0,0,0,2,2,3,2,5,10
425,3,2,2,0,0,0,3,1,2,1,5,0,6
426,1,3,2,0,0,0,2,2,3,4,1,2,11
427,3,4,3,0,0,0,2,2,2,0,0,2,10
428,2,1,3,0,0,0,5,3,0,2,5,1,13
429,1,2,2,1,0,0,6,2,6,5,0,3,16
430,1,1,3,0,1,0,3,7,1,2,4,5,14
431,2,1,1,0,0,0,3,6,2,6,1,0,-1
432,2,1,3,0,0,0,0,1,0,3,0,4,13
433,1,3,2,0,0,0,3,3,3,1,0,2,11
434,2,1,3,0,0,0,5,2,0,4,5,2,13
435,1,1,1,0,0,0,3,7,2,2,5,5,12
436,1,1,1,1,0,0,7,6,7,4,0,2,16
437,1,3,4,0,0,0,2,4,0,4,2,0,14
438,2,3,1,0,0,0,1,3,6,1,5,2,11
439,1,1,2,0,0,0,6,6,0,3,6,3,14
440,1,3,4,0,0,0,1,5,2,3,1,2,16
441,2,2,3,0,0,0,4,0,2,1,2,1,14
442,1,2,3,0,0,0,3,3,1,3,4,0,14
443,1,4,1,0,0,0,0,3,2,7,2,4,11
444,1,2,3,0,0,0,0,1,2,2,2,1,15
445,1,3,2,0,0,0,2,3,2,2,4,1,7
446,4,1,2,0,0,0,1,3,1,2,2,1,10
447,1,1,3,0,0,0,4,1,1,5,5,4,14
448,1,3,1,0,0,0,1,5,1,5,2,0,11
449,2,2,3,0,0,0,0,5,4,1,4,4,14
450,2,2,2,0,0,0,3,0,2,4,5,4,13
451,2,3,4,0,0,0,0,4,1,3,1,1,-1
452,2,4,1,0,0,0,2,3,5,0,3,3,9
453,3,2,2,0,0,0,1,2,4,1,5,1,10
454,1,2,3,0,0,0,2,5,2,5,4,0,15
455,1,4,1,0,0,1,1,3,4,0,3,3,6
456,2,1,2,0,0,0,3,4,1,5,2,1,12
457,2,3,2,0,0,0,0,4,0,5,0,1,-1
458,3,1,4,0,0,0,3,4,0,2,3,2,12
459,1,4,1,1,0,1,4,3,7,0,3,3,12
460,3,1,1,0,0,0,3,4,4,4,7,0,11
461,1,1,4,0,0,0,2,2,2,4,4,2,14
462,2,2,3,0,0,0,1,0,1,4,0,4,12
463,4,3,1,0,0,0,2,2,3,3,1,5,7
464,3,4,3,0,0,0,0,2,2,0,2,2,9
465,1,1,2,0,0,0,6,5,2,6,4,1,13
466,1,4,4,0,0,0,2,3,1,3,1,0,-1
467,1,2,1,1,0,0,6,6,2,0,4,6,11
468,2,2,2,0,0,0,4,1,1,4,5,3,12
469,1,1,2,0,0,0,4,7,4,1,0,6,14
470,1,3,1,0,0,0,2,2,6,2,4,0,14
471,1,1,1,0,0,0,3,0,5,5,2,5,11
472,1,1,2,1,0,0,4,0,4,1,0,1,-1
473,1,2,3,0,0,0,4,3,3,5,1,2,15
474,2,3,2,0,0,0,2,2,3,2,1,0,-1
475,2,2,2,0,0,0,3,3,2,4,5,1,12
476,3,2,2,0,0,0,1,1,0,4,1,5,10
477,1,1,3,0,0,0,2,0,4,2,2,2,15
478,1,3,1,0,0,0,3,5,1,7,4,2,13
479,3,2,1,0,0,1,2,1,5,5,3,6,11
480,3,1,2,0,1,0,5,5,4,2,1,3,12
481,1,3,1,0,0,0,3,2,5,0,2,2,9
482,1,3,1,0,0,0,1,2,3,7,4,5,12
483,3,2,1,0,0,0,1,4,0,5,1,1,-1
484,2,2,1,0,0,1,4,0,6,1,2,1,7
485,2,1,4,0,0,0,3,5,1,3,4,2,14
486,1,1,2,0,0,0,4,6,2,6,6,0,14
487,1,3,2,0,0,0,2,5,1,6,1,1,-1
488,1,3,2,0,0,0,4,3,4,6,0,3,15
